Report Date,FIPS,Locality,Health District,Health Region,Vaccination Status,Sex,People by vaccination status count
03/24/2021,51091,Highland,Central Shenandoah,Northwest,At Least One Dose,Not Reported,0
03/24/2021,51595,Emporia,Crater,Central,Fully Vaccinated,Male,126
03/24/2021,51053,Dinwiddie,Crater,Central,Fully Vaccinated,Male,737
03/24/2021,51187,Warren,Lord Fairfax,Northwest,Not Reported,Not Reported,0
03/24/2021,51640,Galax,Mount Rogers,Southwest,Not Reported,Male,0
03/24/2021,51093,Isle of Wight,Western Tidewater,Eastern,Not Reported,Not Reported,0
03/24/2021,51149,Prince George,Crater,Central,Not Reported,Female,0
03/24/2021,Out-of-State,Out-of-State,Out-of-State,Out-of-State,At Least One Dose,Female,30602
03/24/2021,51027,Buchanan,Cumberland Plateau,Southwest,Fully Vaccinated,Male,1587
03/24/2021,51075,Goochland,Chickahominy,Central,At Least One Dose,Male,3792
03/24/2021,51840,Winchester,Lord Fairfax,Northwest,Fully Vaccinated,Not Reported,3
03/24/2021,51071,Giles,New River,Southwest,Fully Vaccinated,Not Reported,0
03/24/2021,51037,Charlotte,Piedmont,Central,At Least One Dose,Female,1545
03/24/2021,51181,Surry,Crater,Central,Not Reported,Not Reported,0
03/24/2021,51063,Floyd,New River,Southwest,Fully Vaccinated,Male,1128
03/24/2021,51157,Rappahannock,Rappahannock Rapidan,Northwest,Not Reported,Male,0
03/24/2021,51735,Poquoson,Peninsula,Eastern,Not Reported,Female,0
03/24/2021,51017,Bath,Central Shenandoah,Northwest,At Least One Dose,Male,538
03/24/2021,51127,New Kent,Chickahominy,Central,At Least One Dose,Not Reported,17
03/24/2021,51057,Essex,Three Rivers,Eastern,Not Reported,Female,0
03/24/2021,51137,Orange,Rappahannock Rapidan,Northwest,Fully Vaccinated,Not Reported,21
03/24/2021,51085,Hanover,Chickahominy,Central,At Least One Dose,Female,18413
03/24/2021,51049,Cumberland,Piedmont,Central,Not Reported,Female,0
03/24/2021,51131,Northampton,Eastern Shore,Eastern,Fully Vaccinated,Female,1663
03/24/2021,51111,Lunenburg,Piedmont,Central,Fully Vaccinated,Male,730
03/24/2021,51185,Tazewell,Cumberland Plateau,Southwest,Fully Vaccinated,Not Reported,4
03/24/2021,51121,Montgomery,New River,Southwest,At Least One Dose,Female,13832
03/24/2021,51179,Stafford,Rappahannock,Northwest,Fully Vaccinated,Male,6434
03/24/2021,51059,Fairfax,Fairfax,Northern,Not Reported,Male,0
03/24/2021,51690,Martinsville,West Piedmont,Southwest,Not Reported,Female,0
03/24/2021,51155,Pulaski,New River,Southwest,At Least One Dose,Not Reported,8
03/24/2021,51155,Pulaski,New River,Southwest,Not Reported,Male,0
03/24/2021,51095,James City,Peninsula,Eastern,Not Reported,Female,0
03/24/2021,51530,Buena Vista City,Central Shenandoah,Northwest,At Least One Dose,Not Reported,0
03/24/2021,51077,Grayson,Mount Rogers,Southwest,At Least One Dose,Not Reported,1
03/24/2021,51175,Southampton,Western Tidewater,Eastern,At Least One Dose,Male,2101
03/24/2021,51177,Spotsylvania,Rappahannock,Northwest,Not Reported,Not Reported,0
03/24/2021,51840,Winchester,Lord Fairfax,Northwest,At Least One Dose,Not Reported,4
03/24/2021,51650,Hampton,Hampton,Eastern,At Least One Dose,Male,10823
03/24/2021,51131,Northampton,Eastern Shore,Eastern,Not Reported,Male,0
03/24/2021,51005,Alleghany,Alleghany,Southwest,At Least One Dose,Male,1760
03/24/2021,51165,Rockingham,Central Shenandoah,Northwest,At Least One Dose,Male,8704
03/24/2021,51830,Williamsburg,Peninsula,Eastern,Not Reported,Male,0
03/24/2021,51143,Pittsylvania,Pittsylvania-Danville,Southwest,Not Reported,Male,0
03/24/2021,51550,Chesapeake,Chesapeake,Eastern,At Least One Dose,Male,19377
03/24/2021,51159,Richmond County,Three Rivers,Eastern,Not Reported,Female,0
03/24/2021,51775,Salem,Alleghany,Southwest,Not Reported,Female,0
03/24/2021,51700,Newport News,Peninsula,Eastern,Fully Vaccinated,Not Reported,94
03/24/2021,51077,Grayson,Mount Rogers,Southwest,Fully Vaccinated,Male,1259
03/24/2021,51059,Fairfax,Fairfax,Northern,At Least One Dose,Female,151347
03/24/2021,51125,Nelson,Blue Ridge,Northwest,At Least One Dose,Female,2813
03/24/2021,51091,Highland,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,0
03/24/2021,51051,Dickenson,Cumberland Plateau,Southwest,Not Reported,Female,0
03/24/2021,51023,Botetourt,Alleghany,Southwest,Not Reported,Female,0
03/24/2021,51640,Galax,Mount Rogers,Southwest,Not Reported,Not Reported,0
03/24/2021,51139,Page,Lord Fairfax,Northwest,Not Reported,Female,0
03/24/2021,51179,Stafford,Rappahannock,Northwest,Fully Vaccinated,Not Reported,52
03/24/2021,51083,Halifax,Southside,Central,Fully Vaccinated,Male,1408
03/24/2021,51187,Warren,Lord Fairfax,Northwest,At Least One Dose,Female,4172
03/24/2021,51147,Prince Edward,Piedmont,Central,At Least One Dose,Female,2490
03/24/2021,51157,Rappahannock,Rappahannock Rapidan,Northwest,At Least One Dose,Male,978
03/24/2021,51013,Arlington,Arlington,Northern,Fully Vaccinated,Female,15317
03/24/2021,51660,Harrisonburg,Central Shenandoah,Northwest,Not Reported,Female,0
03/24/2021,51820,Waynesboro,Central Shenandoah,Northwest,Not Reported,Not Reported,0
03/24/2021,51085,Hanover,Chickahominy,Central,Not Reported,Not Reported,0
03/24/2021,51083,Halifax,Southside,Central,Not Reported,Female,0
03/24/2021,51197,Wythe,Mount Rogers,Southwest,Fully Vaccinated,Not Reported,0
03/24/2021,51023,Botetourt,Alleghany,Southwest,Fully Vaccinated,Not Reported,0
03/24/2021,51187,Warren,Lord Fairfax,Northwest,At Least One Dose,Not Reported,4
03/24/2021,51013,Arlington,Arlington,Northern,At Least One Dose,Male,19103
03/24/2021,51153,Prince William,Prince William,Northern,Fully Vaccinated,Not Reported,176
03/24/2021,51045,Craig,Alleghany,Southwest,At Least One Dose,Not Reported,0
03/24/2021,51036,Charles City,Chickahominy,Central,Not Reported,Male,0
03/24/2021,51091,Highland,Central Shenandoah,Northwest,Not Reported,Not Reported,0
03/24/2021,51035,Carroll,Mount Rogers,Southwest,Not Reported,Male,0
03/24/2021,51051,Dickenson,Cumberland Plateau,Southwest,Fully Vaccinated,Female,1298
03/24/2021,51127,New Kent,Chickahominy,Central,At Least One Dose,Female,3538
03/24/2021,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Male,0
03/24/2021,51195,Wise,Lenowisco,Southwest,Fully Vaccinated,Female,2835
03/24/2021,Out-of-State,Out-of-State,Out-of-State,Out-of-State,Fully Vaccinated,Male,11551
03/24/2021,51075,Goochland,Chickahominy,Central,Fully Vaccinated,Female,2561
03/24/2021,51093,Isle of Wight,Western Tidewater,Eastern,At Least One Dose,Not Reported,109
03/24/2021,51009,Amherst,Central Virginia,Southwest,At Least One Dose,Female,4842
03/24/2021,51109,Louisa,Blue Ridge,Northwest,Fully Vaccinated,Male,1853
03/24/2021,51820,Waynesboro,Central Shenandoah,Northwest,At Least One Dose,Male,2618
03/24/2021,51678,Lexington,Central Shenandoah,Northwest,Not Reported,Female,0
03/24/2021,51570,Colonial Heights,Chesterfield,Central,Not Reported,Not Reported,0
03/24/2021,51620,Franklin City,Western Tidewater,Eastern,Not Reported,Not Reported,0
03/24/2021,51057,Essex,Three Rivers,Eastern,Fully Vaccinated,Female,1128
03/24/2021,51067,Franklin County,West Piedmont,Southwest,Not Reported,Male,0
03/24/2021,51137,Orange,Rappahannock Rapidan,Northwest,At Least One Dose,Male,3808
03/24/2021,51117,Mecklenburg,Southside,Central,Not Reported,Male,0
03/24/2021,51093,Isle of Wight,Western Tidewater,Eastern,Fully Vaccinated,Not Reported,40
03/24/2021,51107,Loudoun,Loudoun,Northern,At Least One Dose,Male,35358
03/24/2021,Out-of-State,Out-of-State,Out-of-State,Out-of-State,At Least One Dose,Male,21281
03/24/2021,51149,Prince George,Crater,Central,Not Reported,Male,0
03/24/2021,51175,Southampton,Western Tidewater,Eastern,Not Reported,Male,0
03/24/2021,51087,Henrico,Henrico,Central,At Least One Dose,Female,51634
03/24/2021,51037,Charlotte,Piedmont,Central,Fully Vaccinated,Male,466
03/24/2021,51735,Poquoson,Peninsula,Eastern,At Least One Dose,Not Reported,29
03/24/2021,51179,Stafford,Rappahannock,Northwest,At Least One Dose,Female,18775
03/24/2021,51036,Charles City,Chickahominy,Central,Not Reported,Not Reported,0
03/24/2021,51760,Richmond City,Richmond,Central,Fully Vaccinated,Not Reported,36
03/24/2021,51023,Botetourt,Alleghany,Southwest,At Least One Dose,Not Reported,0
03/24/2021,51131,Northampton,Eastern Shore,Eastern,At Least One Dose,Male,2097
03/24/2021,51730,Petersburg,Crater,Central,At Least One Dose,Female,3956
03/24/2021,51157,Rappahannock,Rappahannock Rapidan,Northwest,Not Reported,Not Reported,0
03/24/2021,51191,Washington,Mount Rogers,Southwest,At Least One Dose,Not Reported,0
03/24/2021,51089,Henry,West Piedmont,Southwest,Fully Vaccinated,Female,3212
03/24/2021,51079,Greene,Blue Ridge,Northwest,Fully Vaccinated,Female,1803
03/24/2021,51007,Amelia,Piedmont,Central,At Least One Dose,Not Reported,3
03/24/2021,51197,Wythe,Mount Rogers,Southwest,Not Reported,Female,0
03/24/2021,51079,Greene,Blue Ridge,Northwest,Not Reported,Not Reported,0
03/24/2021,51097,King and Queen,Three Rivers,Eastern,Fully Vaccinated,Female,508
03/24/2021,51810,Virginia Beach,Virginia Beach,Eastern,Fully Vaccinated,Male,18288
03/24/2021,51520,Bristol,Mount Rogers,Southwest,Fully Vaccinated,Male,932
03/24/2021,51075,Goochland,Chickahominy,Central,At Least One Dose,Not Reported,14
03/24/2021,51740,Portsmouth,Portsmouth,Eastern,Not Reported,Not Reported,0
03/24/2021,51530,Buena Vista City,Central Shenandoah,Northwest,Not Reported,Male,0
03/24/2021,51183,Sussex,Crater,Central,At Least One Dose,Female,899
03/24/2021,51690,Martinsville,West Piedmont,Southwest,Fully Vaccinated,Male,579
03/24/2021,51063,Floyd,New River,Southwest,At Least One Dose,Not Reported,1
03/24/2021,51155,Pulaski,New River,Southwest,At Least One Dose,Female,5317
03/24/2021,51095,James City,Peninsula,Eastern,At Least One Dose,Male,11128
03/24/2021,51113,Madison,Rappahannock Rapidan,Northwest,Not Reported,Male,0
03/24/2021,51099,King George,Rappahannock,Northwest,Fully Vaccinated,Male,1080
03/24/2021,51045,Craig,Alleghany,Southwest,Not Reported,Male,0
03/24/2021,51165,Rockingham,Central Shenandoah,Northwest,Fully Vaccinated,Male,4505
03/24/2021,51107,Loudoun,Loudoun,Northern,Not Reported,Male,0
03/24/2021,51013,Arlington,Arlington,Northern,At Least One Dose,Not Reported,141
03/24/2021,51125,Nelson,Blue Ridge,Northwest,At Least One Dose,Not Reported,140
03/24/2021,51085,Hanover,Chickahominy,Central,At Least One Dose,Not Reported,31
03/24/2021,51660,Harrisonburg,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,78
03/24/2021,51620,Franklin City,Western Tidewater,Eastern,Fully Vaccinated,Female,593
03/24/2021,51083,Halifax,Southside,Central,Fully Vaccinated,Not Reported,160
03/24/2021,51125,Nelson,Blue Ridge,Northwest,Not Reported,Male,0
03/24/2021,51183,Sussex,Crater,Central,Fully Vaccinated,Male,649
03/24/2021,51157,Rappahannock,Rappahannock Rapidan,Northwest,Fully Vaccinated,Not Reported,3
03/24/2021,51139,Page,Lord Fairfax,Northwest,At Least One Dose,Female,2872
03/24/2021,51187,Warren,Lord Fairfax,Northwest,Not Reported,Female,0
03/24/2021,51041,Chesterfield,Chesterfield,Central,Not Reported,Not Reported,0
03/24/2021,51161,Roanoke County,Alleghany,Southwest,Not Reported,Not Reported,0
03/24/2021,51185,Tazewell,Cumberland Plateau,Southwest,At Least One Dose,Not Reported,4
03/24/2021,51065,Fluvanna,Blue Ridge,Northwest,Not Reported,Not Reported,0
03/24/2021,51133,Northumberland,Three Rivers,Eastern,Not Reported,Female,0
03/24/2021,51063,Floyd,New River,Southwest,Fully Vaccinated,Female,1528
03/24/2021,51157,Rappahannock,Rappahannock Rapidan,Northwest,Not Reported,Female,0
03/24/2021,51169,Scott,Lenowisco,Southwest,At Least One Dose,Male,2090
03/24/2021,51135,Nottoway,Piedmont,Central,At Least One Dose,Female,1844
03/24/2021,51685,Manassas Park,Prince William,Northern,Not Reported,Female,0
03/24/2021,51127,New Kent,Chickahominy,Central,Fully Vaccinated,Male,1417
03/24/2021,51141,Patrick,West Piedmont,Southwest,At Least One Dose,Female,2067
03/24/2021,51031,Campbell,Central Virginia,Southwest,Fully Vaccinated,Not Reported,7
03/24/2021,51036,Charles City,Chickahominy,Central,At Least One Dose,Not Reported,2
03/24/2021,51690,Martinsville,West Piedmont,Southwest,Fully Vaccinated,Not Reported,0
03/24/2021,51087,Henrico,Henrico,Central,Fully Vaccinated,Male,15284
03/24/2021,51595,Emporia,Crater,Central,Fully Vaccinated,Female,236
03/24/2021,51053,Dinwiddie,Crater,Central,Fully Vaccinated,Female,1410
03/24/2021,51073,Gloucester,Three Rivers,Eastern,At Least One Dose,Male,3933
03/24/2021,51063,Floyd,New River,Southwest,Not Reported,Male,0
03/24/2021,51011,Appomattox,Central Virginia,Southwest,Not Reported,Not Reported,0
03/24/2021,51800,Suffolk,Western Tidewater,Eastern,Not Reported,Not Reported,0
03/24/2021,51067,Franklin County,West Piedmont,Southwest,Fully Vaccinated,Female,3723
03/24/2021,51678,Lexington,Central Shenandoah,Northwest,At Least One Dose,Male,714
03/24/2021,51590,Danville,Pittsylvania-Danville,Southwest,Fully Vaccinated,Not Reported,1
03/24/2021,51820,Waynesboro,Central Shenandoah,Northwest,Not Reported,Female,0
03/24/2021,51630,Fredericksburg,Rappahannock,Northwest,Not Reported,Not Reported,0
03/24/2021,51071,Giles,New River,Southwest,At Least One Dose,Female,2722
03/24/2021,51003,Albemarle,Blue Ridge,Northwest,Fully Vaccinated,Male,8248
03/24/2021,51161,Roanoke County,Alleghany,Southwest,Fully Vaccinated,Female,11654
03/24/2021,51099,King George,Rappahannock,Northwest,Not Reported,Male,0
03/24/2021,51710,Norfolk,Norfolk,Eastern,Not Reported,Female,0
03/24/2021,51670,Hopewell,Crater,Central,At Least One Dose,Male,1372
03/24/2021,51690,Martinsville,West Piedmont,Southwest,Not Reported,Not Reported,0
03/24/2021,51820,Waynesboro,Central Shenandoah,Northwest,Fully Vaccinated,Not Reported,18
03/24/2021,51019,Bedford,Central Virginia,Southwest,At Least One Dose,Not Reported,6
03/24/2021,51047,Culpeper,Rappahannock Rapidan,Northwest,At Least One Dose,Female,6526
03/24/2021,51021,Bland,Mount Rogers,Southwest,Fully Vaccinated,Female,470
03/24/2021,51700,Newport News,Peninsula,Eastern,Not Reported,Female,0
03/24/2021,51101,King William,Three Rivers,Eastern,Not Reported,Female,0
03/24/2021,51720,Norton,Lenowisco,Southwest,At Least One Dose,Male,501
03/24/2021,51135,Nottoway,Piedmont,Central,Not Reported,Female,0
03/24/2021,51035,Carroll,Mount Rogers,Southwest,Not Reported,Not Reported,0
03/24/2021,51830,Williamsburg,Peninsula,Eastern,Fully Vaccinated,Male,829
03/24/2021,51085,Hanover,Chickahominy,Central,Fully Vaccinated,Female,10280
03/24/2021,51197,Wythe,Mount Rogers,Southwest,At Least One Dose,Male,2412
03/24/2021,51630,Fredericksburg,Rappahannock,Northwest,Fully Vaccinated,Not Reported,5
03/24/2021,51820,Waynesboro,Central Shenandoah,Northwest,Fully Vaccinated,Female,2650
03/24/2021,51590,Danville,Pittsylvania-Danville,Southwest,Not Reported,Not Reported,0
03/24/2021,51510,Alexandria,Alexandria,Northern,At Least One Dose,Female,18830
03/24/2021,51033,Caroline,Rappahannock,Northwest,At Least One Dose,Male,2566
03/24/2021,51103,Lancaster,Three Rivers,Eastern,Fully Vaccinated,Male,987
03/24/2021,51117,Mecklenburg,Southside,Central,At Least One Dose,Male,3128
03/24/2021,51027,Buchanan,Cumberland Plateau,Southwest,Not Reported,Not Reported,0
03/24/2021,51127,New Kent,Chickahominy,Central,Fully Vaccinated,Not Reported,10
03/24/2021,51079,Greene,Blue Ridge,Northwest,At Least One Dose,Female,2871
03/24/2021,51089,Henry,West Piedmont,Southwest,At Least One Dose,Female,7615
03/24/2021,51139,Page,Lord Fairfax,Northwest,Not Reported,Not Reported,0
03/24/2021,51710,Norfolk,Norfolk,Eastern,At Least One Dose,Female,20908
03/24/2021,51143,Pittsylvania,Pittsylvania-Danville,Southwest,Fully Vaccinated,Female,4362
03/24/2021,51023,Botetourt,Alleghany,Southwest,At Least One Dose,Male,4177
03/24/2021,51043,Clarke,Lord Fairfax,Northwest,Fully Vaccinated,Not Reported,2
03/24/2021,51017,Bath,Central Shenandoah,Northwest,Not Reported,Not Reported,0
03/24/2021,51683,Manassas City,Prince William,Northern,Not Reported,Not Reported,0
03/24/2021,51540,Charlottesville,Blue Ridge,Northwest,At Least One Dose,Female,7415
03/24/2021,51013,Arlington,Arlington,Northern,Not Reported,Male,0
03/24/2021,51041,Chesterfield,Chesterfield,Central,At Least One Dose,Not Reported,81
03/24/2021,51053,Dinwiddie,Crater,Central,At Least One Dose,Female,3115
03/24/2021,51065,Fluvanna,Blue Ridge,Northwest,At Least One Dose,Not Reported,138
03/24/2021,51081,Greensville,Crater,Central,At Least One Dose,Not Reported,1
03/24/2021,51061,Fauquier,Rappahannock Rapidan,Northwest,Not Reported,Not Reported,0
03/24/2021,51740,Portsmouth,Portsmouth,Eastern,At Least One Dose,Female,9452
03/24/2021,51003,Albemarle,Blue Ridge,Northwest,Not Reported,Not Reported,0
03/24/2021,51047,Culpeper,Rappahannock Rapidan,Northwest,Not Reported,Male,0
03/24/2021,51830,Williamsburg,Peninsula,Eastern,At Least One Dose,Not Reported,17
03/24/2021,51171,Shenandoah,Lord Fairfax,Northwest,Fully Vaccinated,Female,4590
03/24/2021,51510,Alexandria,Alexandria,Northern,Fully Vaccinated,Female,11937
03/24/2021,51117,Mecklenburg,Southside,Central,Fully Vaccinated,Not Reported,10
03/24/2021,51033,Caroline,Rappahannock,Northwest,Fully Vaccinated,Male,1312
03/24/2021,51650,Hampton,Hampton,Eastern,Not Reported,Not Reported,0
03/24/2021,51013,Arlington,Arlington,Northern,Fully Vaccinated,Not Reported,47
03/24/2021,51830,Williamsburg,Peninsula,Eastern,At Least One Dose,Male,1423
03/24/2021,51540,Charlottesville,Blue Ridge,Northwest,Fully Vaccinated,Male,3030
03/24/2021,51061,Fauquier,Rappahannock Rapidan,Northwest,Not Reported,Female,0
03/24/2021,Not Reported,Not Reported,Not Reported,Not Reported,Fully Vaccinated,Female,39067
03/24/2021,51750,Radford,New River,Southwest,Not Reported,Male,0
03/24/2021,51031,Campbell,Central Virginia,Southwest,Not Reported,Male,0
03/24/2021,51173,Smyth,Mount Rogers,Southwest,At Least One Dose,Female,4833
03/24/2021,51079,Greene,Blue Ridge,Northwest,Fully Vaccinated,Not Reported,34
03/24/2021,51570,Colonial Heights,Chesterfield,Central,Not Reported,Male,0
03/24/2021,51003,Albemarle,Blue Ridge,Northwest,Fully Vaccinated,Not Reported,343
03/24/2021,51163,Rockbridge,Central Shenandoah,Northwest,At Least One Dose,Male,2867
03/24/2021,51840,Winchester,Lord Fairfax,Northwest,Not Reported,Male,0
03/24/2021,51007,Amelia,Piedmont,Central,At Least One Dose,Male,943
03/24/2021,51685,Manassas Park,Prince William,Northern,Not Reported,Not Reported,0
03/24/2021,51153,Prince William,Prince William,Northern,Not Reported,Male,0
03/24/2021,51171,Shenandoah,Lord Fairfax,Northwest,At Least One Dose,Male,4752
03/24/2021,51700,Newport News,Peninsula,Eastern,Fully Vaccinated,Male,6413
03/24/2021,51005,Alleghany,Alleghany,Southwest,Not Reported,Not Reported,0
03/24/2021,51101,King William,Three Rivers,Eastern,Fully Vaccinated,Male,539
03/24/2021,51660,Harrisonburg,Central Shenandoah,Northwest,At Least One Dose,Not Reported,155
03/24/2021,51127,New Kent,Chickahominy,Central,Not Reported,Not Reported,0
03/24/2021,51109,Louisa,Blue Ridge,Northwest,At Least One Dose,Not Reported,127
03/24/2021,51580,Covington,Alleghany,Southwest,Fully Vaccinated,Female,342
03/24/2021,51193,Westmoreland,Three Rivers,Eastern,At Least One Dose,Female,2404
03/24/2021,51520,Bristol,Mount Rogers,Southwest,Fully Vaccinated,Not Reported,0
03/24/2021,51083,Halifax,Southside,Central,At Least One Dose,Male,3412
03/24/2021,51750,Radford,New River,Southwest,Fully Vaccinated,Male,987
03/24/2021,51049,Cumberland,Piedmont,Central,At Least One Dose,Female,1174
03/24/2021,51710,Norfolk,Norfolk,Eastern,Fully Vaccinated,Male,6701
03/24/2021,51031,Campbell,Central Virginia,Southwest,Fully Vaccinated,Male,2542
03/24/2021,51570,Colonial Heights,Chesterfield,Central,Fully Vaccinated,Not Reported,3
03/24/2021,51041,Chesterfield,Chesterfield,Central,Not Reported,Male,0
03/24/2021,51073,Gloucester,Three Rivers,Eastern,At Least One Dose,Not Reported,34
03/24/2021,51067,Franklin County,West Piedmont,Southwest,At Least One Dose,Female,8008
03/24/2021,51159,Richmond County,Three Rivers,Eastern,Fully Vaccinated,Female,831
03/24/2021,51077,Grayson,Mount Rogers,Southwest,Not Reported,Male,0
03/24/2021,51775,Salem,Alleghany,Southwest,Fully Vaccinated,Female,2928
03/24/2021,51141,Patrick,West Piedmont,Southwest,Fully Vaccinated,Female,935
03/24/2021,51137,Orange,Rappahannock Rapidan,Northwest,Not Reported,Not Reported,0
03/24/2021,51049,Cumberland,Piedmont,Central,Not Reported,Not Reported,0
03/24/2021,51670,Hopewell,Crater,Central,Not Reported,Female,0
03/24/2021,51027,Buchanan,Cumberland Plateau,Southwest,At Least One Dose,Male,2865
03/24/2021,51071,Giles,New River,Southwest,At Least One Dose,Not Reported,1
03/24/2021,51145,Powhatan,Chesterfield,Central,At Least One Dose,Not Reported,5
03/24/2021,51029,Buckingham,Piedmont,Central,Fully Vaccinated,Female,993
03/24/2021,51127,New Kent,Chickahominy,Central,Fully Vaccinated,Female,2113
03/24/2021,51141,Patrick,West Piedmont,Southwest,At Least One Dose,Male,1538
03/24/2021,51087,Henrico,Henrico,Central,Not Reported,Female,0
03/24/2021,51610,Falls Church,Fairfax,Northern,At Least One Dose,Male,1475
03/24/2021,51640,Galax,Mount Rogers,Southwest,At Least One Dose,Female,854
03/24/2021,51800,Suffolk,Western Tidewater,Eastern,Fully Vaccinated,Male,3209
03/24/2021,51019,Bedford,Central Virginia,Southwest,Not Reported,Female,0
03/24/2021,51153,Prince William,Prince William,Northern,At Least One Dose,Male,32275
03/24/2021,51069,Frederick,Lord Fairfax,Northwest,Fully Vaccinated,Not Reported,5
03/24/2021,51091,Highland,Central Shenandoah,Northwest,Not Reported,Female,0
03/24/2021,51683,Manassas City,Prince William,Northern,Fully Vaccinated,Female,2645
03/24/2021,51057,Essex,Three Rivers,Eastern,At Least One Dose,Female,1687
03/24/2021,51620,Franklin City,Western Tidewater,Eastern,At Least One Dose,Male,781
03/24/2021,51085,Hanover,Chickahominy,Central,Not Reported,Female,0
03/24/2021,51043,Clarke,Lord Fairfax,Northwest,At Least One Dose,Female,2236
03/24/2021,51069,Frederick,Lord Fairfax,Northwest,Fully Vaccinated,Male,5789
03/24/2021,51105,Lee,Lenowisco,Southwest,Fully Vaccinated,Male,883
03/24/2021,51173,Smyth,Mount Rogers,Southwest,Not Reported,Female,0
03/24/2021,51183,Sussex,Crater,Central,Not Reported,Female,0
03/24/2021,51540,Charlottesville,Blue Ridge,Northwest,At Least One Dose,Not Reported,217
03/24/2021,51685,Manassas Park,Prince William,Northern,At Least One Dose,Not Reported,4
03/24/2021,51171,Shenandoah,Lord Fairfax,Northwest,Not Reported,Male,0
03/24/2021,51683,Manassas City,Prince William,Northern,Not Reported,Male,0
03/24/2021,51097,King and Queen,Three Rivers,Eastern,Not Reported,Female,0
03/24/2021,51147,Prince Edward,Piedmont,Central,At Least One Dose,Not Reported,19
03/24/2021,51197,Wythe,Mount Rogers,Southwest,Fully Vaccinated,Female,1844
03/24/2021,51660,Harrisonburg,Central Shenandoah,Northwest,Fully Vaccinated,Female,3639
03/24/2021,51720,Norton,Lenowisco,Southwest,At Least One Dose,Not Reported,1
03/24/2021,51115,Mathews,Three Rivers,Eastern,Fully Vaccinated,Male,756
03/24/2021,51105,Lee,Lenowisco,Southwest,Not Reported,Female,0
03/24/2021,51173,Smyth,Mount Rogers,Southwest,Fully Vaccinated,Male,2044
03/24/2021,51021,Bland,Mount Rogers,Southwest,At Least One Dose,Male,764
03/24/2021,51595,Emporia,Crater,Central,At Least One Dose,Not Reported,1
03/24/2021,51760,Richmond City,Richmond,Central,Not Reported,Female,0
03/24/2021,51051,Dickenson,Cumberland Plateau,Southwest,Fully Vaccinated,Not Reported,1
03/24/2021,51023,Botetourt,Alleghany,Southwest,Not Reported,Not Reported,0
03/24/2021,51149,Prince George,Crater,Central,At Least One Dose,Not Reported,3
03/24/2021,51105,Lee,Lenowisco,Southwest,At Least One Dose,Not Reported,1
03/24/2021,51760,Richmond City,Richmond,Central,At Least One Dose,Not Reported,101
03/24/2021,51053,Dinwiddie,Crater,Central,Not Reported,Female,0
03/24/2021,51181,Surry,Crater,Central,At Least One Dose,Male,711
03/24/2021,51173,Smyth,Mount Rogers,Southwest,Fully Vaccinated,Not Reported,1
03/24/2021,51007,Amelia,Piedmont,Central,Not Reported,Not Reported,0
03/24/2021,51680,Lynchburg,Central Virginia,Southwest,Fully Vaccinated,Not Reported,5
03/24/2021,51770,Roanoke City,Roanoke,Southwest,Fully Vaccinated,Female,8759
03/24/2021,51071,Giles,New River,Southwest,Fully Vaccinated,Male,1038
03/24/2021,51143,Pittsylvania,Pittsylvania-Danville,Southwest,Fully Vaccinated,Not Reported,7
03/24/2021,51093,Isle of Wight,Western Tidewater,Eastern,Not Reported,Male,0
03/24/2021,51740,Portsmouth,Portsmouth,Eastern,Fully Vaccinated,Male,2323
03/24/2021,51620,Franklin City,Western Tidewater,Eastern,Fully Vaccinated,Not Reported,4
03/24/2021,51678,Lexington,Central Shenandoah,Northwest,Fully Vaccinated,Female,410
03/24/2021,51600,Fairfax City,Fairfax,Northern,Not Reported,Female,0
03/24/2021,51051,Dickenson,Cumberland Plateau,Southwest,At Least One Dose,Male,1871
03/24/2021,Not Reported,Not Reported,Not Reported,Not Reported,At Least One Dose,Not Reported,7653
03/24/2021,51017,Bath,Central Shenandoah,Northwest,Not Reported,Male,0
03/24/2021,51037,Charlotte,Piedmont,Central,At Least One Dose,Not Reported,4
03/24/2021,51169,Scott,Lenowisco,Southwest,Not Reported,Not Reported,0
03/24/2021,51099,King George,Rappahannock,Northwest,Not Reported,Not Reported,0
03/24/2021,51530,Buena Vista City,Central Shenandoah,Northwest,Fully Vaccinated,Female,357
03/24/2021,51595,Emporia,Crater,Central,At Least One Dose,Female,569
03/24/2021,51683,Manassas City,Prince William,Northern,At Least One Dose,Male,2830
03/24/2021,51043,Clarke,Lord Fairfax,Northwest,Fully Vaccinated,Male,1195
03/24/2021,51510,Alexandria,Alexandria,Northern,Fully Vaccinated,Not Reported,21
03/24/2021,51091,Highland,Central Shenandoah,Northwest,At Least One Dose,Female,451
03/24/2021,51043,Clarke,Lord Fairfax,Northwest,At Least One Dose,Not Reported,2
03/24/2021,51119,Middlesex,Three Rivers,Eastern,At Least One Dose,Male,1427
03/24/2021,51025,Brunswick,Southside,Central,Fully Vaccinated,Female,932
03/24/2021,51023,Botetourt,Alleghany,Southwest,Fully Vaccinated,Male,2448
03/24/2021,Out-of-State,Out-of-State,Out-of-State,Out-of-State,At Least One Dose,Not Reported,65
