Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
04/25/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,2,600
03/08/2021,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,1,200
04/05/2021,51047,Culpeper,Rappahannock Rapidan,Medical Practices,Moderna,1,200
01/18/2021,51660,Harrisonburg,Central Shenandoah,Pharmacies,Moderna,1,100
02/20/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,1,100
02/08/2021,51011,Appomattox,Central Virginia,Pharmacies,Moderna,1,200
03/28/2021,51083,Halifax,Southside,Pharmacies,Moderna,1,300
04/08/2021,51001,Accomack,Eastern Shore,Hospitals,Moderna,2,500
02/01/2021,51650,Hampton,Hampton,Other Community Health Providers,Moderna,1,500
04/18/2021,51095,James City,Peninsula,Pharmacies,Moderna,1,200
02/28/2021,51099,King George,Rappahannock,Pharmacies,Moderna,1,100
04/22/2021,51650,Hampton,Hampton,Other Community Health Providers,Moderna,2,400
01/24/2021,51015,Augusta,Central Shenandoah,Other Community Health Providers,Moderna,1,600
04/29/2021,51730,Petersburg,Crater,Local Health Departments,Moderna,1,1200
04/01/2021,51510,Alexandria,Alexandria,Local Health Departments,Moderna,2,100
02/08/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,1,100
01/03/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,700
03/18/2021,51640,Galax,Mount Rogers,Hospitals,Moderna,2,100
03/25/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,2,100
04/29/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,2,100
03/08/2021,51770,Roanoke City,Roanoke,Medical Practices,Moderna,1,100
03/08/2021,51740,Portsmouth,Portsmouth,Other Community Health Providers,Moderna,1,300
03/14/2021,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,1,200
04/25/2021,51820,Waynesboro,Central Shenandoah,Pharmacies,Moderna,1,100
12/22/2020,51810,Virginia Beach,Virginia Beach,Hospitals,Moderna,1,3000
02/20/2021,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,2,400
04/22/2021,51169,Scott,Lenowisco,Pharmacies,Moderna,2,100
04/22/2021,51177,Spotsylvania,Rappahannock,Medical Practices,Moderna,1,400
04/11/2021,51195,Wise,Lenowisco,Pharmacies,Moderna,2,300
04/11/2021,51169,Scott,Lenowisco,Pharmacies,Moderna,2,300
03/22/2021,51165,Rockingham,Central Shenandoah,Pharmacies,Moderna,1,100
04/05/2021,51678,Lexington,Central Shenandoah,Hospitals,Moderna,2,300
02/20/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,2,600
02/04/2021,51660,Harrisonburg,Central Shenandoah,Pharmacies,Moderna,2,200
04/22/2021,51059,Fairfax,Fairfax,Pharmacies,Moderna,2,300
02/20/2021,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,2,2340
04/24/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,1170
03/25/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,2,100
04/22/2021,51740,Portsmouth,Portsmouth,Pharmacies,Moderna,2,100
04/15/2021,51760,Richmond City,Richmond,Hospitals,Moderna,2,500
02/20/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,600
03/22/2021,51590,Danville,Pittsylvania-Danville,Pharmacies,Moderna,1,100
03/01/2021,51141,Patrick,West Piedmont,Other Community Health Providers,Moderna,1,100
03/18/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,2,100
03/28/2021,51091,Highland,Central Shenandoah,Local Health Departments,Moderna,1,100
03/27/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Pfizer,1,2340
03/27/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,2,4680
03/22/2021,51153,Prince William,Prince William,Other Community Health Providers,Moderna,1,300
02/02/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Pfizer,1,2925
04/15/2021,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,1,100
04/18/2021,51169,Scott,Lenowisco,Local Health Departments,Moderna,1,200
04/01/2021,51165,Rockingham,Central Shenandoah,Pharmacies,Moderna,1,100
02/07/2021,51145,Powhatan,Chesterfield,Other Community Health Providers,Moderna,1,200
04/29/2021,51061,Fauquier,Rappahannock Rapidan,Medical Practices,Moderna,2,400
03/14/2021,51690,Martinsville,West Piedmont,Medical Practices,Moderna,1,200
03/21/2021,51087,Henrico,Henrico,Medical Practices,Moderna,1,400
04/08/2021,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,900
03/13/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,2,5850
04/29/2021,51107,Loudoun,Loudoun,Medical Practices,Moderna,2,100
03/20/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,2,2340
04/22/2021,51049,Cumberland,Piedmont,Pharmacies,Moderna,2,100
04/22/2021,51075,Goochland,Chickahominy,Medical Practices,Moderna,2,200
04/17/2021,51810,Virginia Beach,Virginia Beach,Hospitals,Pfizer,1,2340
01/11/2021,51760,Richmond City,Richmond,Local Health Departments,Moderna,2,1500
03/30/2021,51710,Norfolk,Norfolk,Hospitals,J&J,1,100
03/08/2021,51197,Wythe,Mount Rogers,Pharmacies,Moderna,1,200
02/08/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,400
02/20/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,16380
03/01/2021,51510,Alexandria,Alexandria,Local Health Departments,J&J,1,1400
04/15/2021,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,2,100
02/28/2021,51197,Wythe,Mount Rogers,Medical Practices,Moderna,1,100
03/22/2021,51117,Mecklenburg,Southside,Pharmacies,Moderna,1,100
04/24/2021,51117,Mecklenburg,Southside,Hospitals,Pfizer,1,1170
02/07/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,2,300
02/01/2021,51107,Loudoun,Loudoun,Pharmacies,Moderna,1,100
03/18/2021,51710,Norfolk,Norfolk,Pharmacies,Moderna,2,200
01/10/2021,51159,Richmond County,Three Rivers,Other Community Health Providers,Moderna,1,400
12/13/2020,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,11700
02/12/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,1950
03/25/2021,51700,Newport News,Peninsula,Hospitals,Moderna,2,800
04/15/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,2,500
03/15/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,1,200
02/06/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,1,1950
03/20/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,2,1170
04/11/2021,51185,Tazewell,Cumberland Plateau,Medical Practices,Moderna,1,100
01/19/2021,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,1,200
04/11/2021,51085,Hanover,Chickahominy,Pharmacies,Moderna,1,300
03/14/2021,51105,Lee,Lenowisco,Local Health Departments,Moderna,1,100
04/23/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,2,1170
04/10/2021,51153,Prince William,Prince William,Other Community Health Providers,Pfizer,1,4680
04/08/2021,51730,Petersburg,Crater,Medical Practices,Moderna,1,400
12/30/2020,51013,Arlington,Arlington,Hospitals,Pfizer,2,1950
03/04/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,200
03/18/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,2,1300
04/16/2021,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,2,1170
01/30/2021,51730,Petersburg,Crater,Local Health Departments,Pfizer,1,975
04/22/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,700
02/24/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,1,100
04/15/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,1,700
02/20/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,2,500
02/20/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,2,500
04/29/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,2,300
03/08/2021,51083,Halifax,Southside,Medical Practices,Moderna,1,100
04/29/2021,51081,Greensville,Crater,Other Community Health Providers,Moderna,1,200
03/08/2021,51065,Fluvanna,Blue Ridge,Pharmacies,Moderna,1,100
04/03/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,5850
04/25/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,1,200
03/25/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,2,300
02/01/2021,51730,Petersburg,Crater,Local Health Departments,Moderna,1,1500
04/11/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,100
04/02/2021,51153,Prince William,Prince William,Pharmacies,Pfizer,1,2340
01/11/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,2,100
02/24/2021,51121,Montgomery,New River,Local Health Departments,Moderna,1,1100
04/22/2021,51121,Montgomery,New River,Local Health Departments,Moderna,2,2600
02/20/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Moderna,1,100
03/30/2021,51185,Tazewell,Cumberland Plateau,Hospitals,J&J,1,100
04/18/2021,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,1,100
01/28/2021,51117,Mecklenburg,Southside,Local Health Departments,Moderna,2,300
04/01/2021,51035,Carroll,Mount Rogers,Medical Practices,Moderna,1,100
04/12/2021,51167,Russell,Cumberland Plateau,Local Health Departments,J&J,1,500
03/27/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,2,2340
02/21/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,1400
04/01/2021,51029,Buckingham,Piedmont,Medical Practices,Moderna,2,200
03/04/2021,51107,Loudoun,Loudoun,Medical Practices,Moderna,2,100
03/18/2021,51810,Virginia Beach,Virginia Beach,Other Community Health Providers,Moderna,2,400
03/14/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,900
03/25/2021,51650,Hampton,Hampton,Medical Practices,Moderna,2,200
02/25/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,2,500
12/28/2020,51690,Martinsville,West Piedmont,Hospitals,Moderna,1,200
04/08/2021,51153,Prince William,Prince William,Medical Practices,Moderna,2,1500
02/20/2021,51063,Floyd,New River,Pharmacies,Moderna,1,100
04/04/2021,51117,Mecklenburg,Southside,Hospitals,J&J,1,200
03/07/2021,51067,Franklin County,West Piedmont,Pharmacies,Moderna,1,100
04/23/2021,51650,Hampton,Hampton,Other Community Health Providers,Pfizer,1,1170
04/09/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,2,4680
03/28/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,1,100
04/26/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,2,100
04/22/2021,51093,Isle of Wight,Western Tidewater,Medical Practices,Moderna,1,100
02/01/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,1,100
03/08/2021,51730,Petersburg,Crater,Medical Practices,Moderna,1,200
01/10/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,600
01/11/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,2,100
02/20/2021,51059,Fairfax,Fairfax,Pharmacies,Moderna,1,100
04/23/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,2,10530
03/08/2021,51690,Martinsville,West Piedmont,Medical Practices,Moderna,1,300
04/15/2021,51171,Shenandoah,Lord Fairfax,Pharmacies,Moderna,2,200
04/22/2021,51009,Amherst,Central Virginia,Pharmacies,Moderna,2,100
02/24/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,1100
03/14/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,2900
01/10/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,300
04/29/2021,51083,Halifax,Southside,Other Community Health Providers,Moderna,2,100
01/11/2021,51760,Richmond City,Richmond,Hospitals,Moderna,2,4300
02/07/2021,51191,Washington,Mount Rogers,Pharmacies,Moderna,1,1600
03/14/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,1800
02/25/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,1000
04/11/2021,51630,Fredericksburg,Rappahannock,Medical Practices,Moderna,1,100
01/03/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,1,100
01/30/2021,51710,Norfolk,Norfolk,Local Health Departments,Pfizer,1,975
03/25/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,2,1700
01/10/2021,51191,Washington,Mount Rogers,Other Community Health Providers,Moderna,1,100
03/11/2021,51165,Rockingham,Central Shenandoah,Pharmacies,Moderna,2,100
03/28/2021,51089,Henry,West Piedmont,Pharmacies,Moderna,1,100
04/25/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,1000
01/18/2021,51019,Bedford,Central Virginia,Medical Practices,Moderna,1,200
04/25/2021,51125,Nelson,Blue Ridge,Medical Practices,Moderna,1,100
01/30/2021,51059,Fairfax,Fairfax,Hospitals,Pfizer,2,14625
03/05/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,2340
02/28/2021,51580,Covington,Alleghany,Local Health Departments,Moderna,1,400
02/28/2021,51087,Henrico,Henrico,Medical Practices,Moderna,1,800
04/18/2021,51087,Henrico,Henrico,Other Community Health Providers,Moderna,1,600
02/28/2021,51089,Henry,West Piedmont,Pharmacies,Moderna,1,100
01/24/2021,51095,James City,Peninsula,Other Community Health Providers,Moderna,1,200
03/01/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,1,3600
03/20/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,1,5850
04/16/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,2,2340
04/16/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Pfizer,2,14040
02/24/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,800
03/28/2021,51183,Sussex,Crater,Medical Practices,Moderna,1,300
03/13/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Pfizer,2,2340
04/01/2021,51117,Mecklenburg,Southside,Pharmacies,Moderna,1,100
03/05/2021,51810,Virginia Beach,Virginia Beach,Hospitals,Pfizer,1,1170
04/05/2021,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,1,700
01/20/2021,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,2,1400
02/10/2021,51059,Fairfax,Fairfax,Medical Practices,Pfizer,2,975
02/24/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,700
04/03/2021,51510,Alexandria,Alexandria,Medical Practices,Pfizer,2,11700
03/06/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,2,2340
01/18/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,100
02/24/2021,51141,Patrick,West Piedmont,Pharmacies,Moderna,1,100
02/28/2021,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,1,900
04/01/2021,51087,Henrico,Henrico,Medical Practices,Moderna,1,1800
04/08/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,1700
01/30/2021,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,1,975
03/28/2021,51630,Fredericksburg,Rappahannock,Medical Practices,Moderna,1,200
03/25/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,2,500
04/05/2021,51075,Goochland,Chickahominy,Other Community Health Providers,Moderna,2,100
03/21/2021,51540,Charlottesville,Blue Ridge,Other Community Health Providers,Moderna,1,100
03/28/2021,51031,Campbell,Central Virginia,Pharmacies,Moderna,1,100
01/11/2021,51830,Williamsburg,Peninsula,Hospitals,Moderna,2,1000
04/15/2021,51135,Nottoway,Piedmont,Pharmacies,Moderna,2,100
02/28/2021,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,500
04/22/2021,51173,Smyth,Mount Rogers,Other Community Health Providers,Moderna,2,100
03/21/2021,51065,Fluvanna,Blue Ridge,Pharmacies,Moderna,1,100
01/24/2021,51091,Highland,Central Shenandoah,Local Health Departments,Moderna,1,200
03/25/2021,51195,Wise,Lenowisco,Pharmacies,Moderna,2,300
02/24/2021,51105,Lee,Lenowisco,Local Health Departments,Moderna,1,100
03/12/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,1170
01/03/2021,51091,Highland,Central Shenandoah,Local Health Departments,Moderna,1,100
03/05/2021,51590,Danville,Pittsylvania-Danville,Hospitals,Pfizer,1,1170
03/11/2021,51800,Suffolk,Western Tidewater,Pharmacies,Moderna,2,100
01/20/2021,51117,Mecklenburg,Southside,Local Health Departments,Moderna,2,200
02/24/2021,51680,Lynchburg,Central Virginia,Pharmacies,Moderna,1,100
01/10/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,1,100
03/21/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,1,1400
02/20/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,9100
02/24/2021,51153,Prince William,Prince William,Medical Practices,Moderna,1,500
03/28/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,300
04/16/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Pfizer,2,1170
04/16/2021,51740,Portsmouth,Portsmouth,Other Community Health Providers,Pfizer,2,1170
03/14/2021,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,1,200
04/16/2021,51147,Prince Edward,Piedmont,Local Health Departments,Pfizer,2,1170
03/25/2021,51013,Arlington,Arlington,Local Health Departments,Moderna,2,3600
03/01/2021,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,1,1400
02/27/2021,51683,Manassas City,Prince William,Hospitals,Pfizer,1,1170
04/03/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,2340
02/01/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,1,200
03/20/2021,51680,Lynchburg,Central Virginia,Hospitals,Pfizer,2,1170
04/22/2021,51047,Culpeper,Rappahannock Rapidan,Medical Practices,Moderna,2,200
04/22/2021,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,200
02/20/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,2,100
03/25/2021,51153,Prince William,Prince William,Medical Practices,Moderna,2,200
02/07/2021,51590,Danville,Pittsylvania-Danville,Medical Practices,Moderna,1,200
03/12/2021,51730,Petersburg,Crater,Local Health Departments,Pfizer,1,1170
03/04/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,2,500
03/01/2021,51760,Richmond City,Richmond,Local Health Departments,J&J,1,5000
03/25/2021,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,2,1100
02/20/2021,51175,Southampton,Western Tidewater,Other Community Health Providers,Moderna,1,500
03/08/2021,51025,Brunswick,Southside,Pharmacies,Moderna,1,100
04/08/2021,51135,Nottoway,Piedmont,Other Community Health Providers,Moderna,2,100
03/11/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,2,200
03/14/2021,51169,Scott,Lenowisco,Medical Practices,Moderna,1,400
02/25/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,2,100
04/01/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,1200
03/03/2021,51730,Petersburg,Crater,Local Health Departments,J&J,1,2000
04/25/2021,51179,Stafford,Rappahannock,Medical Practices,Moderna,1,300
03/18/2021,51083,Halifax,Southside,Pharmacies,Moderna,2,200
04/11/2021,51087,Henrico,Henrico,Pharmacies,Moderna,2,1200
12/21/2020,51027,Buchanan,Cumberland Plateau,Hospitals,Moderna,1,500
04/29/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,2,2800
04/25/2021,51135,Nottoway,Piedmont,Pharmacies,Moderna,1,100
04/15/2021,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,1,100
01/11/2021,51595,Emporia,Crater,Other Community Health Providers,Moderna,1,500
03/22/2021,51115,Mathews,Three Rivers,Medical Practices,Moderna,1,100
03/07/2021,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,1,700
02/24/2021,51019,Bedford,Central Virginia,Medical Practices,Moderna,1,100
01/18/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,1300
04/10/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,18720
04/11/2021,51195,Wise,Lenowisco,Medical Practices,Moderna,1,100
03/14/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,1,700
04/11/2021,51187,Warren,Lord Fairfax,Other Community Health Providers,Moderna,1,200
03/07/2021,51095,James City,Peninsula,Pharmacies,Moderna,1,100
02/13/2021,51760,Richmond City,Richmond,Pharmacies,Pfizer,1,1950
02/04/2021,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,2,100
04/05/2021,51121,Montgomery,New River,Local Health Departments,Moderna,1,6200
03/27/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Pfizer,2,2340
03/18/2021,51105,Lee,Lenowisco,Local Health Departments,Moderna,2,100
03/21/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Moderna,1,1400
02/20/2021,51159,Richmond County,Three Rivers,Other Community Health Providers,Moderna,1,300
04/29/2021,51137,Orange,Rappahannock Rapidan,Pharmacies,Moderna,2,100
04/01/2021,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,2,100
02/25/2021,51175,Southampton,Western Tidewater,Other Community Health Providers,Moderna,2,100
04/10/2021,51095,James City,Peninsula,Pharmacies,Pfizer,1,3510
03/20/2021,51760,Richmond City,Richmond,Pharmacies,Pfizer,1,4680
03/17/2021,51800,Suffolk,Western Tidewater,Medical Practices,Pfizer,2,3510
03/20/2021,51059,Fairfax,Fairfax,Medical Practices,Pfizer,1,1170
04/15/2021,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,2,200
03/14/2021,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,1,600
02/04/2021,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,2,100
04/11/2021,51013,Arlington,Arlington,Local Health Departments,J&J,1,9600
04/23/2021,51760,Richmond City,Richmond,Pharmacies,Pfizer,2,7020
04/01/2021,51021,Bland,Mount Rogers,Pharmacies,Moderna,1,100
02/24/2021,51520,Bristol,Mount Rogers,Pharmacies,Moderna,1,100
02/01/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,300
02/20/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,1000
04/11/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,2,8100
04/15/2021,51840,Winchester,Lord Fairfax,Medical Practices,Moderna,2,300
02/20/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,100
03/07/2021,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,1,100
04/08/2021,51085,Hanover,Chickahominy,Hospitals,Moderna,1,200
03/04/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,2,100
01/10/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,500
03/18/2021,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,2,200
04/11/2021,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,2,200
04/15/2021,51185,Tazewell,Cumberland Plateau,Medical Practices,Moderna,2,200
04/05/2021,51760,Richmond City,Richmond,Medical Practices,Moderna,1,200
03/20/2021,51083,Halifax,Southside,Hospitals,Pfizer,1,1170
02/25/2021,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,2,200
02/01/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,500
03/08/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,1,100
03/27/2021,51153,Prince William,Prince William,Other Community Health Providers,Pfizer,1,18720
03/06/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,2,1170
03/14/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,4000
02/20/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,1,1900
04/04/2021,51700,Newport News,Peninsula,Local Health Departments,J&J,1,10000
04/25/2021,51177,Spotsylvania,Rappahannock,Medical Practices,Moderna,1,100
02/20/2021,51147,Prince Edward,Piedmont,Pharmacies,Moderna,1,100
04/01/2021,51197,Wythe,Mount Rogers,Medical Practices,Moderna,1,100
04/10/2021,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,2,1170
02/08/2021,51620,Franklin City,Western Tidewater,Pharmacies,Moderna,1,100
02/07/2021,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,1,100
02/28/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,1,400
04/15/2021,51199,York,Peninsula,Pharmacies,Moderna,2,100
03/20/2021,51153,Prince William,Prince William,Other Community Health Providers,Pfizer,2,18720
03/14/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,500
02/22/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,1,1500
01/03/2021,51053,Dinwiddie,Crater,Local Health Departments,Moderna,1,600
02/24/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,1,100
04/22/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,2,6200
03/22/2021,51710,Norfolk,Norfolk,Pharmacies,Moderna,1,200
02/07/2021,51087,Henrico,Henrico,Local Health Departments,Moderna,1,1000
02/25/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,2,100
03/06/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Pfizer,2,1170
03/18/2021,51690,Martinsville,West Piedmont,Medical Practices,Moderna,2,100
03/04/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,2,200
04/16/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,2,1170
03/28/2021,51670,Hopewell,Crater,Pharmacies,Moderna,1,400
02/04/2021,51135,Nottoway,Piedmont,Medical Practices,Moderna,2,100
03/22/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,100
04/22/2021,51067,Franklin County,West Piedmont,Medical Practices,Moderna,2,200
02/01/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,1,2200
02/25/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,2,300
03/14/2021,51059,Fairfax,Fairfax,Pharmacies,Moderna,1,800
03/22/2021,51177,Spotsylvania,Rappahannock,Pharmacies,Moderna,1,100
01/11/2021,51740,Portsmouth,Portsmouth,Hospitals,Moderna,2,2000
03/15/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,1,700
04/29/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,2,6500
02/07/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,1,600
04/25/2021,51011,Appomattox,Central Virginia,Pharmacies,Moderna,1,100
01/30/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,1,2925
02/04/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,2,100
01/11/2021,51013,Arlington,Arlington,Hospitals,Moderna,2,2000
12/30/2020,51680,Lynchburg,Central Virginia,Hospitals,Pfizer,1,2925
02/24/2021,51125,Nelson,Blue Ridge,Medical Practices,Moderna,1,200
03/18/2021,51009,Amherst,Central Virginia,Pharmacies,Moderna,2,100
04/25/2021,51600,Fairfax City,Fairfax,Pharmacies,Moderna,2,300
04/13/2021,51121,Montgomery,New River,Local Health Departments,Moderna,1,4000
02/28/2021,51145,Powhatan,Chesterfield,Medical Practices,Moderna,1,2300
02/04/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,2,700
04/01/2021,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,2,1900
03/30/2021,51760,Richmond City,Richmond,Hospitals,J&J,1,100
